Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:km,Short name:en,Short name:km,Description:en,Description:km,Data class,Data type,Complex data handler,Answers,Members,_version:1,_order:1100
ac7214b1-fee1-4727-88dc-84ea13f3981c,,,Brain and Nervous system cancer,,Brain and Nervous system cancer,,Brain and Nervous system cancer,,Misc,N/A,,,,,
5ed4e204-4d84-41a9-b77f-1e6df359696e,,,Bladder Cancer,,Bladder Cancer,,Bladder Cancer,,Misc,N/A,,,,,
239ee67b-5b5d-4b02-9711-3194634f9d62,,,Mesothelioma,,Mesothelioma,,Mesothelioma,,Misc,N/A,,,,,
72c42e4d-a6a6-4884-8ae8-4cfe025168f5,,,Hodgkin lymphoma,,Hodgkin lymphoma,,Hodgkin lymphoma,,Misc,N/A,,,,,
88c931b7-73d5-4016-b9f6-067a90eaaa36,,,Non-Hodgkin lymphoma,,Non-Hodgkin lymphoma,,Non-Hodgkin lymphoma,,Misc,N/A,,,,,
8ed77523-f130-47a1-aae8-b2b0761fa13f,,,Leukaemia,,Leukaemia,,Leukaemia,,Misc,N/A,,,,,
46da884e-9ead-4511-8d46-cc8ca5d664f4,,,Other malignant cancers,,Other malignant cancers,,Other malignant cancers,,Misc,N/A,,,,,
7aee2809-fd0f-4e41-8938-546d06e7857c,,,"Myelodysplstic, myeloproliferative and other hematopoietic neoplasms",,"Myelodysplstic, myeloproliferative and other hematopoietic neoplasms",,"Myelodysplstic, myeloproliferative and other hematopoietic neoplasms",,Misc,N/A,,,,,
88c10f6e-8982-48a1-af15-2b0ff8b9ff53,,,Other benign and insitu neoplasms,,Other benign and insitu neoplasms,,Other benign and insitu neoplasms,,Misc,N/A,,,,,
e605fad4-7974-449b-b065-c45472992adb,,,Intertitial lung disease and pulmonary sarcoidosis,,Intertitial lung disease and pulmonary sarcoidosis,,Intertitial lung disease and pulmonary sarcoidosis,,Misc,N/A,,,,,
808f91f7-6a44-480e-850a-21c598c9dd6b,,,Upper digestive system diseases,,Upper digestive system diseases,,Upper digestive system diseases,,Misc,N/A,,,,,
0b9f79ae-bf87-4864-a11a-561a22610fe9,,,Appendicitis,,Appendicitis,,Appendicitis,,Misc,N/A,,,,,
e65ddcc6-afd9-4153-b7e4-86a0ee2f5802,,,Paralytic ileus and intestinal obstruction,,Paralytic ileus and intestinal obstruction,,Paralytic ileus and intestinal obstruction,,Misc,N/A,,,,,
ba6fefe7-5ae7-438c-9e2b-56d392cd85e1,,,"Inguinal, femoral,and abdominal hernia",,"Inguinal, femoral,and abdominal hernia",,"Inguinal, femoral,and abdominal hernia",,Misc,N/A,,,,,
99e90ffa-1259-486a-9e67-d70aa173384a,,,inflammatory bowel disease,,inflammatory bowel disease,,inflammatory bowel disease,,Misc,N/A,,,,,
6f00c0cb-907f-45a7-a35d-6691968a5b5e,,,Pancreatitis,,Pancreatitis,,Pancreatitis,,Misc,N/A,,,,,
f52cfdab-cdd2-444f-8ffa-8b386566aba5,,,Epilepsy,,Epilepsy,,Epilepsy,,Misc,N/A,,,,,
2d533503-e748-4d16-bd8d-2283ae0fab27,,,Multiple sclerosis,,Multiple sclerosis,,Multiple sclerosis,,Misc,N/A,,,,,
b9f808f5-6296-4373-9e5c-6e8f38955517,,,Motor Neuro Disease,,Motor Neuro Disease,,Motor Neuro Disease,,Misc,N/A,,,,,
d17e0721-952f-4657-8222-ab6e71efbeee,,,Other Neurological disorders,,Other Neurological disorders,,Other Neurological disorders,,Misc,N/A,,,,,
9d019823-8718-4efd-a06d-1cc185bde817,,,Mental Disorder,,Mental Disorder,,Mental Disorder,,Misc,N/A,,,,,
55e000d1-6db9-4b8d-82d5-5ed3e4c9a84c,,,Eating Disorder,,Eating Disorder,,Eating Disorder,,Misc,N/A,,,,,
dc5da144-0c2e-4edf-9bf4-d486a66369d4,,,Substance use disorder,,Substance use disorder,,Substance use disorder,,Misc,N/A,,,,,
4792c629-b3be-4a3c-a57a-03dfba42918a,,,Chronic Kidney diseases,,Chronic Kidney diseases,,Chronic Kidney diseases,,Misc,N/A,,,,,
f55b0431-bc50-41c1-b890-cbbe5b1408dd,,,Acute glomerulonephritis,,Acute glomerulonephritis,,Acute glomerulonephritis,,Misc,N/A,,,,,
d74f3a6a-abef-40b2-aacd-d45e6c9220d4,,,Skin and subcutaneous disease,,Skin and subcutaneous disease,,Skin and subcutaneous disease,,Misc,N/A,,,,,
9785c79e-a4ac-473f-85ca-49de914d0987,,,Congenital anomalies,,Congenital anomalies,,Congenital anomalies,,Misc,N/A,,,,,
8c4617ad-d886-4711-9385-b3bd17fb0afa,,,Neural tube defects,,Neural tube defects,,Neural tube defects,,Misc,N/A,,,,,
1b0caf22-9395-4944-a3c4-8f425e06db1a,,,Congenital heart anomalies,,congenital heart anomalies,,Congenital heart anomalies,,Misc,N/A,,,,,
9d5d2728-1657-464f-8e43-fbb33e021284,,,Orofacial clefts,,Orofacial clefts,,Orofacial clefts,,Misc,N/A,,,,,
60a81580-b0e3-4799-9521-b4791a000f9f,,,Down sydrome,,Down sydrome,,Down sydrome,,Misc,N/A,,,,,
984585bb-ed00-4f14-a894-859185e9eb1f,,,Other chromosomal abnormalities,,Other chromosomal abnormalities,,Other chromosomal abnormalities,,Misc,N/A,,,,,
b2f40d2b-aa2b-4173-ae3b-5be39a6dc590,,,Congenital musculoskeletal and limb anomalies,,Congenital musculoskeletal and limb anomalies,,Congenital musculoskeletal and limb anomalies,,Misc,N/A,,,,,
8da9a288-e7d8-4757-8dc0-b1d65c957eb6,,,Urogenital congenital anomilies,,Urogenital congenital anomilies,,Urogenital congenital anomilies,,Misc,N/A,,,,,
594b094e-43e6-4d45-8902-b8d1a52d3f98,,,Digestive congenital anomalies,,Digestive congenital anomalies,,Digestive congenital anomalies,,Misc,N/A,,,,,
374f387b-b514-41c9-81f1-3c1c217436e0,,,Urinary diseases and male infertility,,Urinary diseases and male infertility,,Urinary diseases and male infertility,,Misc,N/A,,,,,
344ef8f1-a731-4325-b45a-13c062c6bb6d,,,Uterine fibroids,,Uterine fibroids,,Uterine fibroids,,Misc,N/A,,,,,
97c17b6f-67ff-4f56-a14d-3589044aa9d0,,,Polycystic ovarian syndrome,,Polycystic ovarian syndrome,,Polycystic ovarian syndrome,,Misc,N/A,,,,,
c362c788-8c40-4213-b802-ecb75c9a24e0,,,Genital prolapse,,Genital prolapse,,Genital prolapse,,Misc,N/A,,,,,
1326eaf5-2e20-4a30-9526-bc3694298765,,,Endometriosis,,Endometriosis,,Endometriosis,,Misc,N/A,,,,,
a0414999-2b1b-4918-9867-5a3a2dd7dbc4,,,other gynecological diseases,,other gynecological diseases,,other gynecological diseases,,Misc,N/A,,,,,
3e2e4629-76c0-4734-94d7-01266932dc4a,,,Thalassemias,,Thalassemias,,Thalassemias,,Misc,N/A,,,,,
3eb8a335-c602-403a-a84c-91057a3a7550,,,Sickle cell disorders,,Sickle cell disorders,,Sickle cell disorders,,Misc,N/A,,,,,
70565cd0-6012-406f-8bd6-20f14e7f9adf,,,G6PD deficiency,,G6PD deficiency,,G6PD deficiency,,Misc,N/A,,,,,
9090de69-f8d5-4b7e-bc91-b31144bd7c0f,,,other hemoglobinopathies and hemolytic anaemias,,other hemoglobinopathies and hemolytic anaemias,,other hemoglobinopathies and hemolytic anaemias,,Misc,N/A,,,,,
a20657d2-4168-4611-9e5c-9226e429d4c7,,,Sudden infant death syndrome,,Sudden infant death syndrome,,Sudden infant death syndrome,,Misc,N/A,,,,,
0148c678-926d-4ccc-825e-9fb64c755085,,,Transport injury,,Transport injury,,Transport injury,,Misc,N/A,,,,,
9d53b3f1-a95e-4048-a4e1-84e917262695,,,Falls,,Falls,,Falls,,Misc,N/A,,,,,
8576a355-d9dc-488f-b294-cd6529bb81e3,,,Poisoning,,Poisoning,,Poisoning,,Misc,N/A,,,,,
7dd293c9-1339-426e-bacf-bd5e1b89fd62,,,Poisining by carbon monxide,,Poisining by carbon monxide,,Poisining by carbon monxide,,Misc,N/A,,,,,
bb4f0c3d-e239-41a2-95e9-fed0aa4489c3,,,Exposure to mechanical forces,,Exposure to mechanical forces,,Exposure to mechanical forces,,Misc,N/A,,,,,
0e832f07-5c7b-4cff-a3d8-83db9ec99ecd,,,Foreign body,,Foreign body,,Foreign Body,,Misc,N/A,,,,,
61e40e91-a7c3-4720-a843-720535c3e2c2,,,Adverse effects of medical treatment,,Adverse effects of medical treatment,,Adverse effects of medical treatment,,Misc,N/A,,,,,
96a29a78-dad4-4aae-a612-6a02d21a71bb,,,Animal contact,,Animal contact,,Animal contact,,Misc,N/A,,,,,
cc35a7ce-cab4-404d-a781-e329a8b4f34f,,,venomous animal contact,,venomous animal contact,,venomous animal contact,,Misc,N/A,,,,,
9b1bfb33-9701-4606-96ea-82d097665abe,,,Non-venomous animal contact,,Non-venomous animal contact,,Non-venomous animal contact,,Misc,N/A,,,,,
0420648b-db39-4230-b8b8-1df24842f7b3,,,Pulmonary aspiration and foreign body in airway,,Pulmonary aspiration and foreign body in airway,,Pulmonary aspiration and foreign body in airway,,Misc,N/A,,,,,
df65c3b4-aa9d-47f1-bdf0-93ae6fc5cfab,,,Foreign body in other body part,,Foreign body in other body part,,Foreign body in other body part,,Misc,N/A,,,,,
f60328ff-0368-4ab5-a31e-3811e0aaeeb7,,,Enviromental heat and cold exposure,,Enviromental heat and cold exposure,,Enviromental heat and cold exposure,,Misc,N/A,,,,,
